instrument,granularity,time,open,high,low,close,volume
EUR_USD,H1,2026-05-27T20:00:00.000000000Z,1.16286,1.16305,1.16256,1.16258,1370
EUR_USD,H1,2026-05-27T21:00:00.000000000Z,1.1628,1.16312,1.16266,1.16291,1741
EUR_USD,H1,2026-05-27T22:00:00.000000000Z,1.16286,1.16305,1.1626,1.16262,1117
EUR_USD,H1,2026-05-27T23:00:00.000000000Z,1.1626,1.16288,1.16162,1.16176,2057
EUR_USD,H1,2026-05-28T00:00:00.000000000Z,1.16176,1.16235,1.16166,1.16206,4204
EUR_USD,H1,2026-05-28T01:00:00.000000000Z,1.16206,1.16212,1.16094,1.161,3619
EUR_USD,H1,2026-05-28T02:00:00.000000000Z,1.161,1.16152,1.16096,1.16126,2769
EUR_USD,H1,2026-05-28T03:00:00.000000000Z,1.16126,1.16138,1.15872,1.15872,5686
EUR_USD,H1,2026-05-28T04:00:00.000000000Z,1.15872,1.15928,1.15864,1.15918,4150
EUR_USD,H1,2026-05-28T05:00:00.000000000Z,1.15918,1.16021,1.15891,1.15994,4094
EUR_USD,H1,2026-05-28T06:00:00.000000000Z,1.15993,1.16122,1.15987,1.16102,4639
EUR_USD,H1,2026-05-28T07:00:00.000000000Z,1.16104,1.16178,1.161,1.16118,5677
EUR_USD,H1,2026-05-28T08:00:00.000000000Z,1.16118,1.16169,1.16066,1.16156,4714
EUR_USD,H1,2026-05-28T09:00:00.000000000Z,1.16157,1.16192,1.1613,1.16132,4152
EUR_USD,H1,2026-05-28T10:00:00.000000000Z,1.1613,1.16156,1.16037,1.16037,4908
EUR_USD,H1,2026-05-28T11:00:00.000000000Z,1.16036,1.16228,1.16034,1.1617,4995
EUR_USD,H1,2026-05-28T12:00:00.000000000Z,1.16168,1.16384,1.16157,1.16366,8408
EUR_USD,H1,2026-05-28T13:00:00.000000000Z,1.16367,1.16432,1.16291,1.16306,8258
EUR_USD,H1,2026-05-28T14:00:00.000000000Z,1.16304,1.1658,1.1627,1.16478,19776
EUR_USD,H1,2026-05-28T15:00:00.000000000Z,1.16478,1.1657,1.16477,1.16481,8034
EUR_USD,H1,2026-05-28T16:00:00.000000000Z,1.1648,1.16614,1.16454,1.16569,7316
EUR_USD,H1,2026-05-28T17:00:00.000000000Z,1.1657,1.16574,1.16508,1.16534,3775
EUR_USD,H1,2026-05-28T18:00:00.000000000Z,1.16532,1.16554,1.16466,1.1648,5238
EUR_USD,H1,2026-05-28T19:00:00.000000000Z,1.16477,1.16516,1.16464,1.16477,3573
EUR_USD,H1,2026-05-28T20:00:00.000000000Z,1.16476,1.16498,1.1645,1.16497,1380
EUR_USD,H1,2026-05-28T21:00:00.000000000Z,1.16522,1.16536,1.16512,1.1652,1312
EUR_USD,H1,2026-05-28T22:00:00.000000000Z,1.16519,1.16522,1.165,1.16504,691
EUR_USD,H1,2026-05-28T23:00:00.000000000Z,1.16504,1.16532,1.16504,1.16526,1009
EUR_USD,H1,2026-05-29T00:00:00.000000000Z,1.16525,1.16556,1.16475,1.16488,3637
EUR_USD,H1,2026-05-29T01:00:00.000000000Z,1.16489,1.16566,1.16434,1.16446,4350
EUR_USD,H1,2026-05-29T02:00:00.000000000Z,1.16446,1.16492,1.16436,1.1645,2605
EUR_USD,H1,2026-05-29T03:00:00.000000000Z,1.1645,1.1645,1.1636,1.16373,2585
EUR_USD,H1,2026-05-29T04:00:00.000000000Z,1.16372,1.16394,1.16343,1.16391,2177
EUR_USD,H1,2026-05-29T05:00:00.000000000Z,1.16392,1.16436,1.16382,1.16421,2127
EUR_USD,H1,2026-05-29T06:00:00.000000000Z,1.16422,1.16544,1.16422,1.16535,4460
EUR_USD,H1,2026-05-29T07:00:00.000000000Z,1.16534,1.16534,1.16378,1.16422,5684
EUR_USD,H1,2026-05-29T08:00:00.000000000Z,1.16418,1.16418,1.1625,1.16283,5920
EUR_USD,H1,2026-05-29T09:00:00.000000000Z,1.16282,1.16428,1.16266,1.16415,5549
EUR_USD,H1,2026-05-29T10:00:00.000000000Z,1.16416,1.16452,1.1638,1.16431,3955
EUR_USD,H1,2026-05-29T11:00:00.000000000Z,1.1643,1.16483,1.16399,1.16478,4793
EUR_USD,H1,2026-05-29T12:00:00.000000000Z,1.16477,1.16491,1.16416,1.1649,5604
EUR_USD,H1,2026-05-29T13:00:00.000000000Z,1.16492,1.16532,1.1645,1.16474,6999
EUR_USD,H1,2026-05-29T14:00:00.000000000Z,1.16473,1.16746,1.16406,1.16687,13964
EUR_USD,H1,2026-05-29T15:00:00.000000000Z,1.16686,1.16859,1.16673,1.16781,12409
EUR_USD,H1,2026-05-29T16:00:00.000000000Z,1.1678,1.16792,1.16666,1.16723,6709
EUR_USD,H1,2026-05-29T17:00:00.000000000Z,1.16722,1.16734,1.16622,1.16624,4715
EUR_USD,H1,2026-05-29T18:00:00.000000000Z,1.16624,1.16686,1.16605,1.16642,5159
EUR_USD,H1,2026-05-29T19:00:00.000000000Z,1.16641,1.16695,1.16638,1.16646,4405
EUR_USD,H1,2026-05-29T20:00:00.000000000Z,1.16648,1.1665,1.16587,1.16621,2773
